feature,vif
thalch,1.5732424597002224
exang,1.4320758965427594
age,1.3972003057228495
ca,1.293347678576672
oldpeak,1.2649053827412988
cp,1.2612470058263132
chol,1.254964825724976
thal_reversible,1.211590523716788
slope,1.1553819590717989
trestbps,1.1335856482508067
restecg,1.1290284641370218
sex,1.1116539552909732
fbs,1.0967743440640265
thal_fixed,1.0608339283188521
