feature,vif
thalch,1.6285673626769381
exang,1.4458549873968958
age,1.41288263145776
cp,1.3053713892860963
ca,1.2823879450607363
oldpeak,1.2692500055454405
chol,1.2255794443517667
thal_reversible,1.2053680831478968
slope,1.1714007457844542
trestbps,1.1432581389913181
restecg,1.1431409831700503
sex,1.1150317547922273
fbs,1.0983174744881807
thal_fixed,1.0610955675679314
