feature,importance
thalch,0.14620379878267023
age,0.13896464026573335
chol,0.13578050821435478
oldpeak,0.1247683290281331
trestbps,0.10948086332023525
cp,0.08595636122870859
exang,0.04720418001647588
restecg,0.04110593818642838
ca,0.03800873846150576
slope,0.03375934150218029
thal_reversible,0.03165131760998741
sex,0.027744601823962448
fbs,0.02338509745226527
thal_fixed,0.015986284107359354
