model,test_macro_auc,cv_macro_auc_mean,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,specificity_macro,balanced_accuracy,mcc,n_classes,support_total
OLR,0.7841143793466585,0.8083111003703412,0.5271739130434783,0.36767881683135917,0.27169592181097013,0.40311497656057244,0.4117924575275349,0.5271739130434783,0.4608998366749268,0.855445577284911,0.27169592181097013,-1.0019262565989089,5.0,184.0
RandomForest,0.8119213367028344,0.7660460483516165,0.5978260869565217,0.5411484758207697,0.386616941886155,0.4002354395063062,0.5781822082379863,0.5978260869565218,0.5743806365582341,0.8857975291772995,0.386616941886155,-1.0243862511350716,5.0,184.0
XGBoost,0.7959296742620563,0.7548022696476947,0.592391304347826,0.3805448125610398,0.3785565868400659,0.47202933206947395,0.5832098166602973,0.592391304347826,0.5863519501774648,0.8891339819460157,0.3785565868400659,-1.0331889361500433,5.0,184.0
MLP,0.712820262965318,0.7378459489565764,0.44021739130434784,0.29858842508570277,0.2906062797457184,0.29381515967295013,0.4608490710784959,0.4402173913043479,0.44974936643625746,0.847981167405055,0.2906062797457184,-1.049988604111811,5.0,184.0
